,id,number_of_cpu_cores,occupied_cores,voltages_frequencies,ISL,capacitance,powerIdle,batteryLevel,errorRate,acceptableTasks,handleSafeTask
50,iot 50,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(20000000.0, 2.3), (10000000.0, 1.8), (80000000.0, 4.0)], [(160000000.0, 5.0), (20000000.0, 2.3), (10000000.0, 1.8)], [(160000000.0, 5.0), (20000000.0, 2.3), (10000000.0, 1.8)], [(40000000.0, 2.7), (10000000.0, 1.8), (20000000.0, 2.3)], [(40000000.0, 2.7), (80000000.0, 4.0), (10000000.0, 1.8)], [(40000000.0, 2.7), (10000000.0, 1.8), (20000000.0, 2.3)], [(160000000.0, 5.0), (20000000.0, 2.3), (80000000.0, 4.0)], [(40000000.0, 2.7), (10000000.0, 1.8), (80000000.0, 4.0)]]",0.2,"[2.850799824880402e-10, 2.233126642853762e-10, 2.4733829652042497e-10, 2.653781771555481e-10, 2.2280435767025703e-10, 2.0218964135235497e-10, 2.0749017194518442e-10, 2.2849867257878378e-10]","[0.0007999999999999999, 0.0007999999999999999, 0.0007999999999999999, 0.0009, 0.0007999999999999999, 0.0009, 0.001, 0.0007999999999999999]",36000000000.0,0.04,"[4, 1, 3]",1
51,iot 51,4,"[0, 0, 0, 0]","[[(20000000.0, 2.3), (80000000.0, 4.0), (40000000.0, 2.7)], [(160000000.0, 5.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(160000000.0, 5.0), (10000000.0, 1.8), (80000000.0, 4.0)], [(80000000.0, 4.0), (10000000.0, 1.8), (40000000.0, 2.7)]]",0.2,"[2.174559312922674e-10, 2.996137877697102e-10, 2.0736272031575626e-10, 2.883003102575625e-10]","[0.0007999999999999999, 0.0007999999999999999, 0.0009, 0.001]",39000000000.0,0.05,"[3, 2, 1]",1
52,iot 52,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(40000000.0, 2.7), (80000000.0, 4.0), (20000000.0, 2.3)], [(20000000.0, 2.3), (160000000.0, 5.0), (40000000.0, 2.7)], [(10000000.0, 1.8), (40000000.0, 2.7), (80000000.0, 4.0)], [(10000000.0, 1.8), (80000000.0, 4.0), (20000000.0, 2.3)], [(40000000.0, 2.7), (20000000.0, 2.3), (80000000.0, 4.0)], [(160000000.0, 5.0), (20000000.0, 2.3), (80000000.0, 4.0)], [(160000000.0, 5.0), (80000000.0, 4.0), (40000000.0, 2.7)], [(40000000.0, 2.7), (160000000.0, 5.0), (80000000.0, 4.0)], [(40000000.0, 2.7), (160000000.0, 5.0), (80000000.0, 4.0)], [(160000000.0, 5.0), (20000000.0, 2.3), (80000000.0, 4.0)], [(80000000.0, 4.0), (20000000.0, 2.3), (160000000.0, 5.0)], [(160000000.0, 5.0), (80000000.0, 4.0), (40000000.0, 2.7)], [(160000000.0, 5.0), (80000000.0, 4.0), (20000000.0, 2.3)], [(20000000.0, 2.3), (10000000.0, 1.8), (160000000.0, 5.0)], [(20000000.0, 2.3), (160000000.0, 5.0), (80000000.0, 4.0)], [(80000000.0, 4.0), (20000000.0, 2.3), (10000000.0, 1.8)]]",0.13,"[2.329391621567244e-10, 2.436112368918636e-10, 2.0698975397403943e-10, 2.320064063390839e-10, 2.4354147221467337e-10, 2.807764432842005e-10, 2.4278193703575823e-10, 2.4045905473959857e-10, 2.9272691520305313e-10, 2.2808219254708152e-10, 2.8816189827338894e-10, 2.0612973161136986e-10, 2.370522420119273e-10, 2.2100367468676355e-10, 2.540536040855976e-10, 2.3874296074694114e-10]","[0.001, 0.0007999999999999999, 0.0009, 0.0007999999999999999, 0.001, 0.001, 0.0009, 0.001, 0.0007999999999999999, 0.0007999999999999999, 0.001, 0.001, 0.0007999999999999999, 0.0009, 0.0007999999999999999, 0.0007999999999999999]",38000000000.0,0.04,"[3, 2, 4]",1
53,iot 53,4,"[0, 0, 0, 0]","[[(80000000.0, 4.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(80000000.0, 4.0), (160000000.0, 5.0), (20000000.0, 2.3)], [(160000000.0, 5.0), (20000000.0, 2.3), (80000000.0, 4.0)], [(80000000.0, 4.0), (40000000.0, 2.7), (160000000.0, 5.0)]]",0.1,"[2.081063719764908e-10, 2.738366253209179e-10, 2.6536670349705996e-10, 2.524079316347059e-10]","[0.001, 0.001, 0.001, 0.0009]",40000000000.0,0.01,"[4, 3]",0
54,iot 54,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(160000000.0, 5.0), (20000000.0, 2.3), (80000000.0, 4.0)], [(10000000.0, 1.8), (80000000.0, 4.0), (20000000.0, 2.3)], [(80000000.0, 4.0), (10000000.0, 1.8), (160000000.0, 5.0)], [(160000000.0, 5.0), (20000000.0, 2.3), (10000000.0, 1.8)], [(40000000.0, 2.7), (80000000.0, 4.0), (160000000.0, 5.0)], [(20000000.0, 2.3), (160000000.0, 5.0), (80000000.0, 4.0)], [(40000000.0, 2.7), (20000000.0, 2.3), (160000000.0, 5.0)], [(20000000.0, 2.3), (80000000.0, 4.0), (40000000.0, 2.7)], [(80000000.0, 4.0), (10000000.0, 1.8), (160000000.0, 5.0)], [(160000000.0, 5.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(20000000.0, 2.3), (160000000.0, 5.0), (80000000.0, 4.0)], [(160000000.0, 5.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(160000000.0, 5.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(10000000.0, 1.8), (80000000.0, 4.0), (40000000.0, 2.7)], [(10000000.0, 1.8), (40000000.0, 2.7), (160000000.0, 5.0)], [(40000000.0, 2.7), (10000000.0, 1.8), (80000000.0, 4.0)]]",0.11,"[2.768344549812829e-10, 2.6229538444770343e-10, 2.5199513591890993e-10, 2.466216219921764e-10, 2.414455012605043e-10, 2.35106650804656e-10, 2.6983640271418055e-10, 2.176787814349967e-10, 2.7672842736442454e-10, 2.603528620662084e-10, 2.9685657680047895e-10, 2.08342863790086e-10, 2.4814116380618254e-10, 2.476693815328517e-10, 2.533466475427479e-10, 2.2181540535069529e-10]","[0.0007999999999999999, 0.0007999999999999999, 0.001, 0.001, 0.0007999999999999999, 0.0007999999999999999, 0.0009, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0009, 0.0007999999999999999, 0.0007999999999999999]",38000000000.0,0.02,"[1, 3]",1
55,iot 55,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(80000000.0, 4.0), (20000000.0, 2.3), (10000000.0, 1.8)], [(80000000.0, 4.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(10000000.0, 1.8), (80000000.0, 4.0), (40000000.0, 2.7)], [(160000000.0, 5.0), (40000000.0, 2.7), (80000000.0, 4.0)], [(20000000.0, 2.3), (80000000.0, 4.0), (10000000.0, 1.8)], [(160000000.0, 5.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(10000000.0, 1.8), (160000000.0, 5.0), (20000000.0, 2.3)], [(20000000.0, 2.3), (80000000.0, 4.0), (40000000.0, 2.7)], [(80000000.0, 4.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(40000000.0, 2.7), (20000000.0, 2.3), (160000000.0, 5.0)], [(20000000.0, 2.3), (40000000.0, 2.7), (160000000.0, 5.0)], [(20000000.0, 2.3), (160000000.0, 5.0), (40000000.0, 2.7)], [(40000000.0, 2.7), (10000000.0, 1.8), (80000000.0, 4.0)], [(20000000.0, 2.3), (40000000.0, 2.7), (10000000.0, 1.8)], [(40000000.0, 2.7), (10000000.0, 1.8), (160000000.0, 5.0)], [(160000000.0, 5.0), (10000000.0, 1.8), (80000000.0, 4.0)]]",0.1,"[2.4983525841764833e-10, 2.0009513745294677e-10, 2.392944870124015e-10, 2.538812584533373e-10, 2.082719269393607e-10, 2.91457693444675e-10, 2.0693055040299965e-10, 2.755427448163033e-10, 2.339367919433631e-10, 2.435313681618731e-10, 2.3281053532102042e-10, 2.3054771275508685e-10, 2.7403298188723627e-10, 2.944264355866235e-10, 2.1301085069191048e-10, 2.3990510167276655e-10]","[0.0009, 0.0009, 0.001, 0.0007999999999999999, 0.0007999999999999999, 0.001, 0.0007999999999999999, 0.001, 0.001, 0.001, 0.0009, 0.001, 0.0009, 0.001, 0.0009, 0.001]",36000000000.0,0.01,"[2, 3]",0
56,iot 56,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(80000000.0, 4.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(80000000.0, 4.0), (160000000.0, 5.0), (20000000.0, 2.3)], [(10000000.0, 1.8), (160000000.0, 5.0), (20000000.0, 2.3)], [(20000000.0, 2.3), (40000000.0, 2.7), (10000000.0, 1.8)], [(10000000.0, 1.8), (40000000.0, 2.7), (80000000.0, 4.0)], [(20000000.0, 2.3), (10000000.0, 1.8), (160000000.0, 5.0)], [(160000000.0, 5.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(10000000.0, 1.8), (40000000.0, 2.7), (20000000.0, 2.3)]]",0.14,"[2.0179602088691967e-10, 2.860423888259737e-10, 2.6788935586250656e-10, 2.747384814836902e-10, 2.640865465350321e-10, 2.102650598783988e-10, 2.677481526171833e-10, 2.741706687387724e-10]","[0.001, 0.0007999999999999999, 0.0007999999999999999, 0.0007999999999999999, 0.0009, 0.001, 0.001, 0.001]",37000000000.0,0.01,"[3, 2]",0
57,iot 57,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(160000000.0, 5.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(10000000.0, 1.8), (80000000.0, 4.0), (20000000.0, 2.3)], [(40000000.0, 2.7), (160000000.0, 5.0), (10000000.0, 1.8)], [(20000000.0, 2.3), (10000000.0, 1.8), (160000000.0, 5.0)], [(10000000.0, 1.8), (80000000.0, 4.0), (20000000.0, 2.3)], [(20000000.0, 2.3), (80000000.0, 4.0), (160000000.0, 5.0)], [(20000000.0, 2.3), (40000000.0, 2.7), (160000000.0, 5.0)], [(20000000.0, 2.3), (160000000.0, 5.0), (10000000.0, 1.8)]]",0.16,"[2.697685042826591e-10, 2.3614325589616225e-10, 2.1966053812454166e-10, 2.1850168394208475e-10, 2.950756020094178e-10, 2.6789441571675336e-10, 2.2450155949480722e-10, 2.785207403752963e-10]","[0.0009, 0.001, 0.001, 0.001, 0.0007999999999999999, 0.0009, 0.001, 0.0007999999999999999]",39000000000.0,0.03,"[3, 2, 4]",0
58,iot 58,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(160000000.0, 5.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(10000000.0, 1.8), (160000000.0, 5.0), (40000000.0, 2.7)], [(40000000.0, 2.7), (20000000.0, 2.3), (160000000.0, 5.0)], [(80000000.0, 4.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(80000000.0, 4.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(10000000.0, 1.8), (20000000.0, 2.3), (80000000.0, 4.0)], [(80000000.0, 4.0), (160000000.0, 5.0), (10000000.0, 1.8)], [(20000000.0, 2.3), (160000000.0, 5.0), (40000000.0, 2.7)]]",0.17,"[2.508064915581496e-10, 2.4322880338417293e-10, 2.425316631772699e-10, 2.2802712351447236e-10, 2.0012226327202442e-10, 2.859741422499897e-10, 2.771627907312312e-10, 2.552672108917249e-10]","[0.0007999999999999999, 0.0009, 0.0009, 0.0007999999999999999, 0.0009, 0.0007999999999999999, 0.0007999999999999999, 0.0007999999999999999]",37000000000.0,0.03,"[3, 1]",1
59,iot 59,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(20000000.0, 2.3), (40000000.0, 2.7), (160000000.0, 5.0)], [(40000000.0, 2.7), (20000000.0, 2.3), (160000000.0, 5.0)], [(20000000.0, 2.3), (40000000.0, 2.7), (80000000.0, 4.0)], [(160000000.0, 5.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(10000000.0, 1.8), (20000000.0, 2.3), (40000000.0, 2.7)], [(20000000.0, 2.3), (10000000.0, 1.8), (40000000.0, 2.7)], [(20000000.0, 2.3), (160000000.0, 5.0), (40000000.0, 2.7)], [(80000000.0, 4.0), (20000000.0, 2.3), (160000000.0, 5.0)]]",0.12,"[2.3211639990681354e-10, 2.5823150607069507e-10, 2.549250013970309e-10, 2.634302625955628e-10, 2.199762549406014e-10, 2.4648648324005935e-10, 2.1352103998967636e-10, 2.1690375865773745e-10]","[0.0009, 0.0007999999999999999, 0.0007999999999999999, 0.0007999999999999999, 0.001, 0.001, 0.0007999999999999999, 0.0007999999999999999]",38000000000.0,0.03,"[3, 4, 1]",1
60,iot 60,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(10000000.0, 1.8), (80000000.0, 4.0), (160000000.0, 5.0)], [(10000000.0, 1.8), (20000000.0, 2.3), (40000000.0, 2.7)], [(20000000.0, 2.3), (40000000.0, 2.7), (80000000.0, 4.0)], [(40000000.0, 2.7), (160000000.0, 5.0), (20000000.0, 2.3)], [(80000000.0, 4.0), (40000000.0, 2.7), (160000000.0, 5.0)], [(20000000.0, 2.3), (80000000.0, 4.0), (40000000.0, 2.7)], [(20000000.0, 2.3), (80000000.0, 4.0), (160000000.0, 5.0)], [(80000000.0, 4.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(80000000.0, 4.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(160000000.0, 5.0), (80000000.0, 4.0), (40000000.0, 2.7)], [(10000000.0, 1.8), (160000000.0, 5.0), (40000000.0, 2.7)], [(160000000.0, 5.0), (20000000.0, 2.3), (80000000.0, 4.0)], [(40000000.0, 2.7), (20000000.0, 2.3), (160000000.0, 5.0)], [(20000000.0, 2.3), (80000000.0, 4.0), (160000000.0, 5.0)], [(10000000.0, 1.8), (20000000.0, 2.3), (160000000.0, 5.0)], [(80000000.0, 4.0), (20000000.0, 2.3), (160000000.0, 5.0)]]",0.2,"[2.0051892891132375e-10, 2.842176138518678e-10, 2.5991184094450704e-10, 2.951497257233724e-10, 2.5209668750864974e-10, 2.7349913867971426e-10, 2.1120780671373605e-10, 2.7004006228696227e-10, 2.6520318093988927e-10, 2.9293302826009594e-10, 2.453162057956568e-10, 2.0773369294100878e-10, 2.833804171555976e-10, 2.580782278300396e-10, 2.2534526016257202e-10, 2.439883262062261e-10]","[0.001, 0.0007999999999999999, 0.0009, 0.0007999999999999999, 0.0009, 0.0009, 0.001, 0.001, 0.0009, 0.0007999999999999999, 0.001, 0.0009, 0.001, 0.0007999999999999999, 0.0007999999999999999, 0.0009]",37000000000.0,0.03,"[1, 3]",1
61,iot 61,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(10000000.0, 1.8), (20000000.0, 2.3), (40000000.0, 2.7)], [(10000000.0, 1.8), (160000000.0, 5.0), (40000000.0, 2.7)], [(80000000.0, 4.0), (20000000.0, 2.3), (160000000.0, 5.0)], [(40000000.0, 2.7), (10000000.0, 1.8), (80000000.0, 4.0)], [(160000000.0, 5.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(20000000.0, 2.3), (80000000.0, 4.0), (40000000.0, 2.7)], [(10000000.0, 1.8), (20000000.0, 2.3), (160000000.0, 5.0)], [(20000000.0, 2.3), (40000000.0, 2.7), (80000000.0, 4.0)]]",0.16,"[2.803017266993418e-10, 2.1812803445519241e-10, 2.497261628697517e-10, 2.1406120729586264e-10, 2.6098349675915304e-10, 2.993291630357093e-10, 2.9432962255295055e-10, 2.3035512309948651e-10]","[0.001, 0.0007999999999999999, 0.0009, 0.001, 0.0007999999999999999, 0.0007999999999999999, 0.001, 0.001]",38000000000.0,0.05,"[2, 4]",0
62,iot 62,4,"[0, 0, 0, 0]","[[(20000000.0, 2.3), (10000000.0, 1.8), (40000000.0, 2.7)], [(40000000.0, 2.7), (10000000.0, 1.8), (20000000.0, 2.3)], [(20000000.0, 2.3), (80000000.0, 4.0), (160000000.0, 5.0)], [(160000000.0, 5.0), (80000000.0, 4.0), (40000000.0, 2.7)]]",0.11,"[2.9891442762938405e-10, 2.1831222189768936e-10, 2.62538252588668e-10, 2.1086025114999037e-10]","[0.0007999999999999999, 0.0007999999999999999, 0.001, 0.001]",37000000000.0,0.04,"[1, 4]",1
63,iot 63,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(10000000.0, 1.8), (80000000.0, 4.0), (40000000.0, 2.7)], [(10000000.0, 1.8), (40000000.0, 2.7), (80000000.0, 4.0)], [(80000000.0, 4.0), (40000000.0, 2.7), (160000000.0, 5.0)], [(80000000.0, 4.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(40000000.0, 2.7), (80000000.0, 4.0), (10000000.0, 1.8)], [(40000000.0, 2.7), (10000000.0, 1.8), (160000000.0, 5.0)], [(160000000.0, 5.0), (10000000.0, 1.8), (80000000.0, 4.0)], [(40000000.0, 2.7), (20000000.0, 2.3), (80000000.0, 4.0)], [(40000000.0, 2.7), (160000000.0, 5.0), (10000000.0, 1.8)], [(40000000.0, 2.7), (20000000.0, 2.3), (10000000.0, 1.8)], [(160000000.0, 5.0), (80000000.0, 4.0), (20000000.0, 2.3)], [(80000000.0, 4.0), (160000000.0, 5.0), (10000000.0, 1.8)], [(20000000.0, 2.3), (10000000.0, 1.8), (40000000.0, 2.7)], [(40000000.0, 2.7), (10000000.0, 1.8), (80000000.0, 4.0)], [(80000000.0, 4.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(80000000.0, 4.0), (160000000.0, 5.0), (20000000.0, 2.3)]]",0.15,"[2.3338485026074756e-10, 2.6447760335686685e-10, 2.2923968894553372e-10, 2.67941807166439e-10, 2.282322696172885e-10, 2.3248772262998717e-10, 2.2475482637669183e-10, 2.745481277538062e-10, 2.5273534345404477e-10, 2.8071542881668603e-10, 2.5838929819958066e-10, 2.0341045902871083e-10, 2.973944832063637e-10, 2.992645704593281e-10, 2.0527288251376855e-10, 2.879180440798625e-10]","[0.001, 0.0009, 0.001, 0.001, 0.0009, 0.0007999999999999999, 0.0007999999999999999, 0.0009, 0.0009, 0.0007999999999999999, 0.0007999999999999999, 0.001, 0.001, 0.0007999999999999999, 0.0009, 0.0007999999999999999]",36000000000.0,0.01,"[1, 2]",1
64,iot 64,4,"[0, 0, 0, 0]","[[(20000000.0, 2.3), (80000000.0, 4.0), (40000000.0, 2.7)], [(10000000.0, 1.8), (80000000.0, 4.0), (20000000.0, 2.3)], [(160000000.0, 5.0), (20000000.0, 2.3), (80000000.0, 4.0)], [(40000000.0, 2.7), (160000000.0, 5.0), (10000000.0, 1.8)]]",0.13,"[2.1832579750612044e-10, 2.748312447911351e-10, 2.965307735178282e-10, 2.9704520586207964e-10]","[0.0007999999999999999, 0.001, 0.0007999999999999999, 0.001]",38000000000.0,0.01,"[1, 2]",1
65,iot 65,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(160000000.0, 5.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(20000000.0, 2.3), (80000000.0, 4.0), (160000000.0, 5.0)], [(20000000.0, 2.3), (10000000.0, 1.8), (80000000.0, 4.0)], [(10000000.0, 1.8), (20000000.0, 2.3), (160000000.0, 5.0)], [(20000000.0, 2.3), (80000000.0, 4.0), (40000000.0, 2.7)], [(40000000.0, 2.7), (160000000.0, 5.0), (20000000.0, 2.3)], [(160000000.0, 5.0), (20000000.0, 2.3), (10000000.0, 1.8)], [(80000000.0, 4.0), (160000000.0, 5.0), (40000000.0, 2.7)], [(40000000.0, 2.7), (20000000.0, 2.3), (10000000.0, 1.8)], [(40000000.0, 2.7), (10000000.0, 1.8), (20000000.0, 2.3)], [(10000000.0, 1.8), (160000000.0, 5.0), (40000000.0, 2.7)], [(40000000.0, 2.7), (10000000.0, 1.8), (80000000.0, 4.0)], [(20000000.0, 2.3), (10000000.0, 1.8), (80000000.0, 4.0)], [(10000000.0, 1.8), (160000000.0, 5.0), (80000000.0, 4.0)], [(40000000.0, 2.7), (10000000.0, 1.8), (160000000.0, 5.0)], [(160000000.0, 5.0), (40000000.0, 2.7), (10000000.0, 1.8)]]",0.17,"[2.0579568882767614e-10, 2.1076155446350953e-10, 2.39829498106542e-10, 2.7727660878116384e-10, 2.0221410188891246e-10, 2.0564408885717926e-10, 2.1989895674376558e-10, 2.925613158939134e-10, 2.307019492124156e-10, 2.108266651216809e-10, 2.2298957209304744e-10, 2.368180640534801e-10, 2.2978358087401742e-10, 2.952774535656256e-10, 2.117899771542062e-10, 2.2941528280998673e-10]","[0.0009, 0.0009, 0.001, 0.001, 0.001, 0.0007999999999999999, 0.0007999999999999999, 0.001, 0.0009, 0.001, 0.0007999999999999999, 0.001, 0.001, 0.0009, 0.0007999999999999999, 0.0009]",36000000000.0,0.02,"[3, 2]",1
66,iot 66,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(40000000.0, 2.7), (160000000.0, 5.0), (10000000.0, 1.8)], [(20000000.0, 2.3), (40000000.0, 2.7), (80000000.0, 4.0)], [(80000000.0, 4.0), (160000000.0, 5.0), (10000000.0, 1.8)], [(80000000.0, 4.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(80000000.0, 4.0), (10000000.0, 1.8), (160000000.0, 5.0)], [(160000000.0, 5.0), (40000000.0, 2.7), (80000000.0, 4.0)], [(160000000.0, 5.0), (80000000.0, 4.0), (40000000.0, 2.7)], [(20000000.0, 2.3), (40000000.0, 2.7), (160000000.0, 5.0)], [(40000000.0, 2.7), (160000000.0, 5.0), (10000000.0, 1.8)], [(20000000.0, 2.3), (10000000.0, 1.8), (160000000.0, 5.0)], [(80000000.0, 4.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(40000000.0, 2.7), (160000000.0, 5.0), (10000000.0, 1.8)], [(40000000.0, 2.7), (20000000.0, 2.3), (80000000.0, 4.0)], [(160000000.0, 5.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(160000000.0, 5.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(80000000.0, 4.0), (20000000.0, 2.3), (10000000.0, 1.8)]]",0.1,"[2.1996452901052456e-10, 2.897662396649179e-10, 2.059663773354651e-10, 2.3142738911729928e-10, 2.1318789410655873e-10, 2.0308572042703378e-10, 2.9989072531862616e-10, 2.3776705788565313e-10, 2.4077400854736705e-10, 2.9014900870574556e-10, 2.5628940431352916e-10, 2.0199006621617511e-10, 2.7034001332882497e-10, 2.956208178145678e-10, 2.8245636431653133e-10, 2.1617672296323996e-10]","[0.0009, 0.001, 0.0009, 0.0009, 0.0009, 0.0009, 0.0007999999999999999, 0.0009, 0.001, 0.0007999999999999999, 0.0009, 0.0009, 0.0009, 0.0007999999999999999, 0.001, 0.0009]",37000000000.0,0.04,"[2, 1, 3]",1
67,iot 67,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[(20000000.0, 2.3), (40000000.0, 2.7), (160000000.0, 5.0)], [(80000000.0, 4.0), (160000000.0, 5.0), (20000000.0, 2.3)], [(10000000.0, 1.8), (40000000.0, 2.7), (80000000.0, 4.0)], [(20000000.0, 2.3), (80000000.0, 4.0), (160000000.0, 5.0)], [(40000000.0, 2.7), (160000000.0, 5.0), (10000000.0, 1.8)], [(10000000.0, 1.8), (80000000.0, 4.0), (20000000.0, 2.3)], [(40000000.0, 2.7), (160000000.0, 5.0), (80000000.0, 4.0)], [(80000000.0, 4.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(20000000.0, 2.3), (160000000.0, 5.0), (40000000.0, 2.7)], [(160000000.0, 5.0), (80000000.0, 4.0), (40000000.0, 2.7)], [(80000000.0, 4.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(20000000.0, 2.3), (160000000.0, 5.0), (80000000.0, 4.0)], [(20000000.0, 2.3), (80000000.0, 4.0), (40000000.0, 2.7)], [(10000000.0, 1.8), (160000000.0, 5.0), (20000000.0, 2.3)], [(10000000.0, 1.8), (160000000.0, 5.0), (20000000.0, 2.3)], [(80000000.0, 4.0), (20000000.0, 2.3), (40000000.0, 2.7)]]",0.2,"[2.1837085588078843e-10, 2.7908826326547266e-10, 2.808982746966401e-10, 2.883323139822481e-10, 2.3014551604834167e-10, 2.728562066114301e-10, 2.8695911758906115e-10, 2.1370175237027073e-10, 2.2667790886744742e-10, 2.4970103375701114e-10, 2.2029085433858553e-10, 2.0608306511730549e-10, 2.9549904174058987e-10, 2.186924063826619e-10, 2.0441580259588036e-10, 2.6890066114927633e-10]","[0.0007999999999999999, 0.0009, 0.0009, 0.001, 0.001, 0.001, 0.0007999999999999999, 0.0007999999999999999, 0.001, 0.0007999999999999999, 0.001, 0.0007999999999999999, 0.001, 0.001, 0.0009, 0.0007999999999999999]",39000000000.0,0.05,"[4, 3]",1
68,iot 68,4,"[0, 0, 0, 0]","[[(40000000.0, 2.7), (10000000.0, 1.8), (20000000.0, 2.3)], [(40000000.0, 2.7), (10000000.0, 1.8), (20000000.0, 2.3)], [(80000000.0, 4.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(80000000.0, 4.0), (160000000.0, 5.0), (20000000.0, 2.3)]]",0.14,"[2.626689791803137e-10, 2.317458839013653e-10, 2.68535103549587e-10, 2.9451742347684253e-10]","[0.0007999999999999999, 0.0007999999999999999, 0.0009, 0.001]",37000000000.0,0.05,"[3, 2, 4]",1
69,iot 69,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(80000000.0, 4.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(10000000.0, 1.8), (160000000.0, 5.0), (80000000.0, 4.0)], [(20000000.0, 2.3), (40000000.0, 2.7), (10000000.0, 1.8)], [(160000000.0, 5.0), (80000000.0, 4.0), (20000000.0, 2.3)], [(160000000.0, 5.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(10000000.0, 1.8), (160000000.0, 5.0), (20000000.0, 2.3)], [(80000000.0, 4.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(20000000.0, 2.3), (10000000.0, 1.8), (40000000.0, 2.7)]]",0.12,"[2.799653919410954e-10, 2.1983776269320168e-10, 2.66181717084807e-10, 2.995858324431671e-10, 2.7933142937081475e-10, 2.5336760501672224e-10, 2.5359809728708794e-10, 2.9261730471028165e-10]","[0.001, 0.0007999999999999999, 0.001, 0.001, 0.001, 0.0009, 0.001, 0.0009]",38000000000.0,0.01,"[2, 3, 1]",1
70,iot 70,8,"[0, 0, 0, 0, 0, 0, 0, 0]","[[(80000000.0, 4.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(20000000.0, 2.3), (160000000.0, 5.0), (10000000.0, 1.8)], [(20000000.0, 2.3), (80000000.0, 4.0), (10000000.0, 1.8)], [(80000000.0, 4.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(20000000.0, 2.3), (40000000.0, 2.7), (160000000.0, 5.0)], [(40000000.0, 2.7), (20000000.0, 2.3), (80000000.0, 4.0)], [(20000000.0, 2.3), (40000000.0, 2.7), (160000000.0, 5.0)], [(160000000.0, 5.0), (10000000.0, 1.8), (80000000.0, 4.0)]]",0.14,"[2.1303466670936042e-10, 2.7401478292189093e-10, 2.3140591863062855e-10, 2.2999841311762668e-10, 2.6285662988959516e-10, 2.8632748667726647e-10, 2.0570556944718855e-10, 2.0405243716383903e-10]","[0.0007999999999999999, 0.001, 0.0007999999999999999, 0.0009, 0.0009, 0.001, 0.0007999999999999999, 0.001]",38000000000.0,0.03,"[3, 2]",1
